Unnamed: 0,车站代码,地址,城市,省份,坐标（高德GCJ-02坐标系）
江津,JJW,重庆市江津区江津火车站,重庆市,重庆市,"106.241333,29.261622"
金坑,JKT,江西省赣州市崇义县金坑乡,赣州市,江西省,"114.175972,25.851665"
芨岭,JLJ,,,,
金马村,JMM,,,,
江门东,JWQ,广东省江门市,江门市,广东省,"113.081901,22.578738"
角美,JES,福建省漳州市龙海市角美镇,漳州市,福建省,"117.952103,24.477623"
莒南,JOK,山东省临沂市莒南县莒南火车站,临沂市,山东省,"118.847394,35.183294"
井南,JNP,河北省石家庄市井陉县井南火车站,石家庄市,河北省,"114.017570,37.992271"
建瓯,JVS,福建省南平市建瓯市建瓯火车站,南平市,福建省,"118.294823,27.023941"
经棚,JPC,内蒙古自治区赤峰市克什克腾旗经棚镇,赤峰市,内蒙古自治区,"117.402290,43.241123"
江桥,JQX,,,,
九三,SSX,江苏省盐城市东台市九三,盐城市,江苏省,"120.255760,32.790779"
金山卫,EGH,上海市金山区金山卫火车站,上海市,上海市,"121.361981,30.728644"
建始,JRN,湖北省恩施土家族苗族自治州建始县建始火车站,恩施土家族苗族自治州,湖北省,"109.728324,30.567821"
嘉善,JSH,浙江省嘉兴市嘉善县嘉善火车站,嘉兴市,浙江省,"120.918349,30.850095"
京山,JCN,湖北省荆门市京山县京山火车站,荆门市,湖北省,"113.136395,31.036762"
稷山,JVV,山西省运城市稷山县稷山火车站,运城市,山西省,"110.995944,35.612466"
吉舒,JSL,,,,
建设,JET,内蒙古自治区呼伦贝尔市海拉尔区建设镇,呼伦贝尔市,内蒙古自治区,"119.780388,49.257378"
甲山,JOP,广西壮族自治区桂林市秀峰区甲山街道,桂林市,广西壮族自治区,"110.259117,25.280836"
建三江,JIB,,,,
嘉善南,EAH,浙江省嘉兴市嘉善县嘉善,嘉兴市,浙江省,"120.892648,30.943898"
金山屯,JTB,黑龙江省伊春市金山屯区金山屯,伊春市,黑龙江省,"129.429117,47.413074"
江所田,JOM,云南省曲靖市罗平县江所田,曲靖市,云南省,"104.488777,24.962553"
景泰,JTJ,,,,
九台南,JNL,吉林省长春市九台区九台,长春市,吉林省,"125.847280,44.157031"
吉文,JWX,内蒙古自治区呼伦贝尔市鄂伦春自治旗吉文镇,呼伦贝尔市,内蒙古自治区,"123.212982,50.581715"
进贤,JUG,江西省南昌市进贤县进贤火车站,南昌市,江西省,"116.246210,28.354133"
莒县,JKK,山东省日照市莒县莒县火车站,日照市,山东省,"118.840345,35.651754"
嘉祥,JUK,山东省济宁市嘉祥县嘉祥火车站,济宁市,山东省,"116.358086,35.392493"
介休,JXV,山西省晋中市介休市介休火车站,晋中市,山西省,"111.918244,37.019568"
嘉兴,JXH,浙江省嘉兴市南湖区嘉兴火车站,嘉兴市,浙江省,"120.763391,30.764320"
井陉,JJP,河北省石家庄市井陉县井陉火车站,石家庄市,河北省,"114.136629,38.034916"
嘉兴南,EPH,浙江省嘉兴市,嘉兴市,浙江省,"120.755486,30.746129"
夹心子,JXT,辽宁省丹东市宽甸满族自治县夹心,丹东市,辽宁省,"125.179756,40.814316"
简阳,JYW,四川省成都市简阳市简阳火车站,成都市,四川省,"104.553167,30.378721"
揭阳,JRQ,广东省揭阳市榕城区揭阳火车站,揭阳市,广东省,"116.347643,23.538609"
姜堰,UEH,江苏省泰州市姜堰区姜堰火车站,泰州市,江苏省,"120.118497,32.534654"
建阳,JYS,福建省南平市建阳区建阳火车站,南平市,福建省,"118.113796,27.354560"
巨野,JYK,山东省菏泽市巨野县巨野火车站,菏泽市,山东省,"116.088231,35.378816"
江永,JYZ,湖南省永州市江永县江永火车站,永州市,湖南省,"111.465684,25.349838"
缙云,JYH,浙江省丽水市缙云县缙云火车站,丽水市,浙江省,"120.095381,28.660622"
靖远,JYJ,,,,
江源,SZL,,,,
济源,JYF,河南省济源市济源火车站,,河南省,
靖远西,JXJ,甘肃省白银市靖远县靖远,白银市,甘肃省,"104.686094,36.564310"
胶州北,JZK,山东省青岛市胶州市北火车站,青岛市,山东省,"120.055984,36.396479"
焦作东,WEF,河南省焦作市武陟县焦作东火车站,焦作市,河南省,"113.590747,35.034390"
金寨,JZH,安徽省六安市金寨县金寨火车站,六安市,安徽省,"115.974654,31.625902"
荆州,JBN,湖北省荆州市荆州区荆州火车站,荆州市,湖北省,"112.211890,30.369790"
蓟州,JIP,,,,
靖州,JEQ,湖南省怀化市靖州苗族侗族自治县靖州火车站,怀化市,湖南省,"109.688803,26.566768"
胶州,JXK,山东省青岛市胶州市胶州火车站,青岛市,山东省,"120.000710,36.290764"
晋州,JXP,河北省石家庄市晋州市晋州火车站,石家庄市,河北省,"115.031602,38.021019"
锦州南,JOD,辽宁省锦州市,锦州市,辽宁省,"121.127003,41.095119"
焦作,JOF,河南省焦作市解放区焦作火车站,焦作市,河南省,"113.234918,35.221880"
旧庄窝,JVP,云南省楚雄彝族自治州禄丰县旧庄镇,楚雄彝族自治州,云南省,"101.815323,25.100990"
金杖子,JYD,辽宁省朝阳市朝阳县金杖子,朝阳市,辽宁省,"120.150467,41.367332"
开安,KAT,吉林省长春市农安县开安镇,长春市,吉林省,"125.195312,44.170128"
库车,KCR,新疆维吾尔自治区阿克苏地区库车县库车火车站,阿克苏地区,新疆维吾尔自治区,"83.018029,41.694212"
康城,KCP,山西省吕梁市交口县康城镇,吕梁市,山西省,"111.327766,36.808098"
库都尔,KDX,内蒙古自治区呼伦贝尔市牙克石市库都尔镇,呼伦贝尔市,内蒙古自治区,"121.623047,50.029263"
宽甸,KDT,辽宁省丹东市宽甸满族自治县宽甸,丹东市,辽宁省,"124.783660,40.731317"
克东,KOB,黑龙江省齐齐哈尔市克东县克东火车站,齐齐哈尔市,黑龙江省,"126.210894,48.160561"
昆都仑召,KDC,内蒙古自治区包头市固阳县昆都仑,包头市,内蒙古自治区,"110.499862,41.148733"
开江,KAW,四川省达州市开江县开江火车站,达州市,四川省,"107.801293,30.914224"
康金井,KJB,黑龙江省哈尔滨市呼兰区康金镇,哈尔滨市,黑龙江省,"126.805107,46.201874"
喀喇其,KQX,内蒙古自治区呼伦贝尔市牙克石市喀喇其,呼伦贝尔市,内蒙古自治区,"122.071426,50.695076"
开鲁,KLC,内蒙古自治区通辽市开鲁县开鲁火车站,通辽市,内蒙古自治区,"121.284296,43.633224"
克拉玛依,KHR,新疆维吾尔自治区克拉玛依市克拉玛依区克拉玛依火车站,克拉玛依市,新疆维吾尔自治区,"84.894580,45.528862"
开平南,PVQ,广东省江门市开平市开平,江门市,广东省,"112.700382,22.380250"
口前,KQL,,,,
昆山,KSH,江苏省苏州市昆山市昆山火车站,苏州市,江苏省,"120.957634,31.366179"
奎山,KAB,黑龙江省牡丹江市林口县奎山乡,牡丹江市,黑龙江省,"130.407990,45.232315"
克山,KSB,黑龙江省齐齐哈尔市克山县克山,齐齐哈尔市,黑龙江省,"125.850452,48.042972"
康熙岭,KXZ,广西壮族自治区钦州市钦南区康熙岭镇,钦州市,广西壮族自治区,"108.511467,21.913116"
昆阳,KAM,广东省江门市鹤山市昆阳村,江门市,广东省,"112.758987,22.478428"
克一河,KHX,内蒙古自治区呼伦贝尔市鄂伦春自治旗克一河镇,呼伦贝尔市,内蒙古自治区,"122.541191,50.032890"
开原西,KXT,辽宁省铁岭市开原市西火车站,铁岭市,辽宁省,"123.918530,42.549502"
康庄,KZP,山东省潍坊市高密市康庄镇,潍坊市,山东省,"119.689262,36.428638"
来宾,UBZ,广西壮族自治区来宾市兴宾区来宾火车站,来宾市,广西壮族自治区,"109.241515,23.730439"
老边,LLT,辽宁省营口市老边区老边火车站,营口市,辽宁省,"122.369227,40.675231"
灵宝西,LPF,河南省三门峡市灵宝市西火车站,三门峡市,河南省,"110.688839,34.577785"
龙川,LUQ,广东省河源市龙川县龙川火车站,河源市,广东省,"115.271494,24.100319"
乐昌,LCQ,广东省韶关市乐昌市乐昌火车站,韶关市,广东省,"113.356948,25.129646"
黎城,UCP,山西省长治市黎城县黎城火车站,长治市,山西省,"113.392500,36.514736"
聊城,UCK,山东省聊城市东昌府区聊城火车站,聊城市,山东省,"116.013160,36.439250"
蓝村,LCK,山东省青岛市即墨市蓝村镇,青岛市,山东省,"120.171303,36.418774"
两当,LDY,甘肃省陇南市两当县两当火车站,陇南市,甘肃省,"106.310316,33.775041"
林东,LRC,内蒙古自治区赤峰市巴林左旗林东镇,赤峰市,内蒙古自治区,"119.426094,43.982391"
乐都,LDO,青海省海东市乐都区乐都火车站,海东市,青海省,"102.433782,36.477082"
梁底下,LDP,辽宁省朝阳市建平县梁底,朝阳市,辽宁省,"119.641151,41.606609"
六道河子,LVP,辽宁省丹东市元宝区六道街道,丹东市,辽宁省,"124.403793,40.137875"
鲁番,LVM,贵州省六盘水市盘县鲁番村,六盘水市,贵州省,"104.522423,25.605757"
廊坊,LJP,河北省廊坊市安次区廊坊火车站,廊坊市,河北省,"116.709066,39.509281"
落垡,LOP,河北省廊坊市安次区落垡镇,廊坊市,河北省,"116.852455,39.432571"
廊坊北,LFP,河北省廊坊市广阳区北火车站,廊坊市,河北省,"116.705957,39.512856"
老府,UFD,内蒙古自治区赤峰市松山区老府镇,赤峰市,内蒙古自治区,"118.266579,42.185726"
兰岗,LNB,黑龙江省牡丹江市宁安市兰岗镇,牡丹江市,黑龙江省,"129.414459,44.265209"
龙骨甸,LGM,江苏省苏州市太仓市龙骨,苏州市,江苏省,"121.163559,31.528736"
芦沟,LOM,江苏省盐城市建湖县芦沟镇,盐城市,江苏省,"119.850563,33.395401"
龙沟,LGJ,甘肃省武威市古浪县龙沟火车站,武威市,甘肃省,"102.900734,37.318447"
拉古,LGB,辽宁省抚顺市抚顺县拉古满族乡,抚顺市,辽宁省,"123.821602,41.722477"
临海,UFH,浙江省台州市临海市临海火车站,台州市,浙江省,"121.246774,28.880288"
林海,LXX,吉林省白城市洮北区林海镇,白城市,吉林省,"122.748802,45.530922"
拉哈,LHX,黑龙江省齐齐哈尔市讷河市拉哈镇,齐齐哈尔市,黑龙江省,"124.618507,48.206051"
凌海,JID,辽宁省锦州市凌海市凌海火车站,锦州市,辽宁省,"121.362172,41.181464"
柳河,LNL,吉林省通化市柳河县柳河火车站,通化市,吉林省,"125.765632,42.290852"
六合,KLH,江苏省南京市玄武区六合火车站,南京市,江苏省,"118.797313,32.088625"
龙华,LHP,海南省海口市龙华区龙华,海口市,海南省,"110.331854,20.039146"
滦河沿,UNP,河北省承德市双滦区滦河镇,承德市,河北省,"117.745834,40.952717"
六合镇,LEX,江苏省南京市玄武区六合火车站,南京市,江苏省,"118.797313,32.088625"
亮甲店,LRT,辽宁省大连市金州区亮甲店镇,大连市,辽宁省,"121.945099,39.216194"
刘家店,UDT,吉林省长春市榆树市刘家镇,长春市,吉林省,"126.212601,44.696674"
刘家河,LVT,吉林省长春市榆树市刘家镇,长春市,吉林省,"126.212601,44.696674"
连江,LKS,福建省福州市连江县连江火车站,福州市,福建省,"119.569067,26.183343"
庐江,UJH,安徽省合肥市庐江县庐江火车站,合肥市,安徽省,"117.176713,31.341571"
李家,LJB,江西省宜春市丰城市李家,宜春市,江西省,"115.992470,28.196785"
罗江,LJW,四川省德阳市罗江区罗江站,德阳市,四川省,"104.502048,31.305248"
廉江,LJZ,广东省湛江市廉江市廉江火车站,湛江市,广东省,"110.297125,21.615109"
两家,UJT,河北省承德市承德县两家满族乡,承德市,河北省,"118.049408,41.317158"
龙江,LJX,黑龙江省齐齐哈尔市龙江县龙江火车站,齐齐哈尔市,黑龙江省,"123.179260,47.329244"
龙嘉,UJL,吉林省长春市二道区龙嘉镇,长春市,吉林省,"125.673828,44.070324"
莲江口,LHB,,,,
蔺家楼,ULK,山东省烟台市龙口市蔺家,烟台市,山东省,"120.512695,37.621758"
李家坪,LIJ,江西省宜春市丰城市李家,宜春市,江西省,"115.992470,28.196785"
兰考,LKF,河南省开封市兰考县兰考火车站,开封市,河南省,"114.819185,34.814367"
林口,LKB,黑龙江省牡丹江市林口县林口火车站,牡丹江市,黑龙江省,"130.268233,45.292700"
路口铺,LKQ,,,,
老莱,LAX,黑龙江省齐齐哈尔市讷河市老莱镇,齐齐哈尔市,黑龙江省,"125.011360,48.657009"
拉林,LAB,黑龙江省哈尔滨市五常市拉林满族镇,哈尔滨市,黑龙江省,"126.869888,45.238804"
陆良,LRM,,,,
龙里,LLW,贵州省黔南布依族苗族自治州龙里县龙里火车站,黔南布依族苗族自治州,贵州省,"106.972857,26.448074"
临澧,LWQ,湖南省常德市临澧县临澧火车站,常德市,湖南省,"111.608983,29.433598"
